pair_id	premise_slo	hypothesis_slo	premise_eng	hypothesis_eng	label
P21	A se mi zdi, da tega ne bosta upala tvegati.	Tudi, če to izgubita, se jima splača tvegati.	But it seems to me that they will not dare to risk it.	Even if they lose it, it is worth the risk.	contradiction
P48	KO JE POPIL ČAJ, JE SPRAVIL TERMOVKO NAZAJ IN SE ODPRAVIL DO KRAJA, KJER JIH JE POBIL.	ODŠEL JE DO KRAJA, KJER JIH JE POBIL, V ROKI PA JE IMEL TERMOVKO, POLNO ČAJA.	AFTER DRINKING HIS TEA, HE PUT THE THERMOS BACK AND WENT TO THE PLACE WHERE HE HAD KILLED THEM.	HE WENT TO THE PLACE WHERE HE HAD KILLED THEM, HOLDING A THERMOS FULL OF TEA.	contradiction
P58	Podpis: Zunajtelesne izkušnje so spontane oziroma hotene ločitve zavesti od fizičnega telesa.	Dokazano je, da tako imenovane zunajtelesne izkušnje, ki naj bi ločevale zavest od telesa pri človeku, dejansko ne obstajajo.	Signature: Out-of-body experiences are spontaneous or voluntary separations of consciousness from the physical body.	It has been shown that the so-called out-of-body experiences that are supposed to separate consciousness from the body in humans do not actually exist.	contradiction
P89	Pogledala je Liz in razumela sočutje, ki se ji je pokazalo v očeh.	Kljub temu da je pogled uperila v Liz, ni mogla razumeti sočutja, ki ga je ta kazala v očeh.	She looked at Liz and understood the compassion in her eyes.	Even though she looked at Liz, she couldn't understand the compassion in her eyes.	contradiction
P92	(1) Obliko in vsebino trošarinskega dokumenta predpiše minister, pristojen za finance.	(1) Trošarinski dokument je v vsem svojem obsegu v celoti pristojnost Ministrstva za okolje in prostor.	(1) The form and content of the excise document shall be prescribed by the Minister responsible for finance.	(1) The excise document shall, in its entirety, be the responsibility of the Ministry of the Environment and Spatial Planning.	contradiction
P100	Za glasovanje po pošti v tujini in na diplomatsko-konzularnih predstavništvih Republike Slovenije se smiselno uporabljajo določbe, ki veljajo za glasovanje v Republiki Sloveniji.	Državljani Slovenije lahko glasujejo tudi v tujini, a le če to storijo na ustreznih slovenskih predstavništvih, pod pogoji, ki veljajo tudi v Republiki Sloveniji, glasovanje z oddajo po pošti pa ni podprto.	For postal voting abroad and at the diplomatic-consular representations of the Republic of Slovenia, the provisions that apply to voting in the Republic of Slovenia are applied sensibly.	Slovenian citizens can also vote abroad, but only if they do so at the relevant Slovenian representations, under the same conditions as in the Republic of Slovenia, and postal voting is not supported.	contradiction
P109	Naloge, ki jih ima po tem zakonu občinska skupščina oziroma njen predsednik, opravlja po izvolitvi občinskega sveta in župana občinski svet oziroma župan.	Po izvolitvi župana se v občinskem svetu ne spremeni nič, saj naloge še vedno pripadajo občinski skupščini.	The functions conferred on the Municipal Assembly or its President under this Act are exercised by the Municipal Council or the Mayor, as the case may be, after the election of the Municipal Council and the Mayor.	After the election of the Mayor, nothing changes in the Municipal Council, as the tasks still belong to the Municipal Assembly.	contradiction
P165	»Eee, gospod ...« se je zaslišalo od zadaj.	Ljudje so se me bali, nihče me ni upal nagovoriti.	Uh, sir... could be heard from behind.	People were afraid of me, no one dared to speak to me.	contradiction
P175	Se naslonila nazaj na zid in z ramenom ugasnila luč.	Stala je daleč od stene in luč je svetila čedalje močneje.	She leaned back against the wall and turned off the light with her shoulder.	She was standing far from the wall and the light was getting brighter and brighter.	contradiction
P210	Dobro premešamo, pokrijemo in postavimo za 2-3 ure v hladilnik.	Jed se pripravi brez mešanja ali hlajenja, le za nekaj minut jo pustite na sobni temperaturi.	Mix well, cover and refrigerate for 2-3 hours.	The dish is prepared without stirring or chilling, just leave it at room temperature for a few minutes.	contradiction
P388	Volilne enote se oblikujejo v skladu z načelom, da se en poslanec voli na približno enako število prebivalcev.	Od volilne enote, v kateri kandidira poslanec, je odvisno, koliko prebivalcev lahko voli zanj, saj so volilne enote zelo različne.	Constituencies are drawn up according to the principle of electing one MEP for every approximately equal number of inhabitants.	How many people can vote for a Member of Parliament depends on the constituency the candidate stands in, as constituencies vary widely.	contradiction
P473	Zelena Magma je prehransko dopolnilo, pridobljeno iz ekološko pridelanih listov mladega ječmena.	Zeleno Magmo lahko zaužijemo kot osnovni obrok in ne le kot prehransko dopolnilo.	Green Magma is a food supplement derived from organically grown young barley leaves.	Green Magma can be consumed as a staple meal and not just as a food supplement.	contradiction
P544	Dve beljakovinski podenoti gradi α- in dve β-beljakovinska veriga.	Dve proteinski podenoti sta zgrajeni najmanj iz štirih α-beljakovinskih verig.	Two protein subunits are made up of an α- and two β-protein chains.	Two protein subunits are made up of at least four α-protein chains.	contradiction
P622	(1) Vsakdo, ki ima pravni interes v zvezi z odločbo carinskega organa, ima pravico do pritožbe.	Pritožbe glede odločbe carinskega organa ne more posameznik kar tako vložiti, potrebuje pravi razlog.	(1) Any person who has a legal interest in a decision of the customs authority shall have the right of appeal.	You can't just file a complaint about a decision of a customs authority, you need a real reason.	contradiction
P645	Nacionalni znak skladnosti s SIST se uporablja v skladu s pravili, ki jih določi upravni odbor.	Odbor, ki se ukvarja s kompatibilnostjo znaka s SIST na nacionalni ravni, sledi pravilom drugih upravljalcev.	The national mark of conformity to the Slovenian Institute for Stardardization (SIST) shall be applied in accordance with the rules laid down by the Governing Board.	The committee dealing with the compatibility of the mark with SIST at national level follows the rules of the other managers.	contradiction
P736	Kadar je rok za predložitev tarif v odobritev v skladu s 3. odstavkom skrajšan, se pristojna organa lahko sporazumeta, da je rok za sporočitev nestrinjanja krajši od trideset (30) dni.	Ko je rok za predložitev tarif v odobritev skladno s tretjim odstavkom skrajšan, vedno sledi trideset dni, ki so namenjeni sporočitvi morebitnega nestrinjanja.	Where the time limit for the submission of tariffs for approval is shortened in accordance with paragraph 3, the Competent Authorities may agree that the time limit for the communication of disagreement shall be less than thirty (30) days.	When the time limit for submitting tariffs for approval is shortened in accordance with the third paragraph, there shall always be a period of 30 days to communicate any disagreement.	contradiction
P739	»Da nas ne bodo ujeli na nadzorne kamere.«	“Pokazati se moram s pravega profila, da na njihovih kamerah ne bom neprivlačna.“	So we don't get caught on surveillance cameras.	I need to show my best side so I don't look unattractive on their cameras.	contradiction
P773	Vizija je hrbtenica celotnega podjetja in vsega, kar se v njem dogaja.	Glavni del podjetja ni strateški plan, marveč delovna sila.	The vision is the backbone of the whole company and everything that happens within it.	The main part of a company is not the strategic plan, but the workforce.	contradiction
P776	Končno sem stal že čisto blizu, roke sem si namenoma položil za hrbet, da sem se plašča lahko neopazno dotikal.	Na skrivaj sem se dotakniti plašča, vendar se nikakor nisem uspel postaviti dovolj blizu, da bi mi to uspelo.	Finally, I was standing very close, my hands deliberately behind my back so that I could touch the coat without being seen.	I secretly touched the coat, but I couldn't get close enough to do it.	contradiction
P794	Ampak kot sem rekel, mislim, da smo ekipa, ki živi najbolj športno v slovenski ligi.«	Meni, da je izmed slovenskih klubov njihov najmanj športen.	"But as I said, I think we are the team that lives the most sporty life in the Slovenian league."""	He thinks that the their club is the least athletic of the Slovenian clubs.	contradiction
P847	Bila je namreč edino vrhnje oblačilo, ki sem ga imela.«	“Kljub vsem oblačilom, ki so bili pri roki, sem vzela ravno to.“	"It was the only outerwear I had."""	Despite all the clothes at hand, this is what I wore.	contradiction
P907	Podgana se najbolje ujemajo z zmajem in opico, najslabše pa s konjem.	Podgana se dobro ujame z vsemi, najbolje pa s konjem.	The rat is best matched with the dragon and the monkey, and worst macthed with the horse.	The rat gets on well with everyone, but best of all with a horse.	contradiction
P940	Še posebej je pomembno učiteljevo odzivanje (ne gre samo za odgovore, ampak tudi za neverbalno vedenje), pri frontalno vodenem pogovoru pa tudi odziv vrstnikov.	Učitelj je najvišja entiteta v šolskem okolju, učenci so dolžni, da ga brezpogojno ubogajo, učitelj pa naj ne spodbuja vprašanj, hkrati pa se mu ni treba ukvarjati z odnosom do učencev.	The teacher's responses are particularly important (not only the answers, but also the non-verbal behaviour), as is the peers's response in a frontally-led conversation.	The teacher is the supreme entity in the school environment, the pupils are obliged to obey him/her unconditionally, and the teacher should not encourage questions, but at the same time he does not have to be concerned with his attitude towards the pupils.	contradiction
P951	To, na kar ga je opozorila, se mu je zapičilo v možgane.	Čeprav je bilo njeno opozorilo zelo važno, je nanj še v istem hipu pozabil.	What she had warned him about was ingrained in his brain.	Although her warning was very important, he forgot about it in the same moment.	contradiction
P984	“BI MI VERJELA, ČE BI TI REKEL, DA SO POLDETA ZARADI MENE UBILI ...“	“ĆE BI TI POVEDAL, DA PRI POLDETOVI SMRTI NIMAM PRSTOV ZRAVEN , BI MI VERJELA NA BESEDO?“	WOULD YOU BELIEVE ME IF I TOLD YOU THAT POLDE WAS KILLED BECAUSE OF ME ...	IF I TOLD YOU THAT I WASN'T INVOLVED IN POLDE'S DEATH, WOULD YOU TAKE MY WORD FOR IT?	contradiction
P1018	Zaželena je univerzitetna visokošolska izobrazba na področju računalniške programske opreme ali gradbeništva.	Najprimernejši so kandidati z zgolj osnovnošolsko ali srednješolsko izobrazbo brez znanj s področja računalništva in gradbeništva.	A university degree in computer software or civil engineering is desirable.	Candidates with only a primary or secondary education, but no computer or building trade skills, are best suited.	contradiction
P1036	Zdelo se je, kot da bi se kar na lepem od nekod prežarčil.	Pustil je občutek, da je izginil s svetlobno hitrostjo.	It was as if he had just beamed out of nowhere.	He left the feeling that he had disappeared at the speed of light.	contradiction
P1060	Kot je znano, avtom starim do treh let - teh je približno 150.000 - ni treba na tehnični pregled in s tem tudi ne na merjenje izpustov izpušnih plinov.	Prav vsa vozila morajo opraviti pregled tehnične brezhibnosti, s tem pa tudi merjenje izpustov.	As is well known, cars up to three years old - their number standas at around 150,000 - do not have to undergo a roadworthiness test and therefore do not have to have their exhaust emissions measured.	All vehicles are required to pass a roadworthiness test, which also measures emissions.	contradiction
P1067	To je bilo zadnje, kar si je kdaj želela.	To je bila vedno njena največja želja.	It was the last thing she ever wanted.	This has always been her greatest desire.	contradiction
P1082	Predmet razpisa je štipendiranje kratkoročne mednarodne mobilnosti v tujino za namen izobraževanja ali praktičnega usposabljanja slovenskih dijakov in študentov.	Razpis ponuja štipendijo tujim dijakom in študentom, ki se bodo v Sloveniji dlje časa izobraževali ali praktično usposabljali.	This call for applications concerns short-term international mobility grants for education or practical training for Slovenian pupils and students.	The call offers a scholarship to foreign pupils and students who will be studying or doing practical training in Slovenia for an extended period of time.	contradiction
P1110	Mak sejemo na stalno mesto, saj ne mara presajanja.	Če želimo, da nam mak bolje uspeva, ga vsakič posadimo na drugo mesto.	Poppies are sown in a permanent location as they do not like to be transplanted.	If you want your poppies to grow better, plant them in a different place each time.	contradiction
P1168	“Prejšnji teden so mi to ponavljali vsaj stokrat na dan,“ je odgovoril.	Dal je odgovor, da je za vse to prvič slišal šele danes.	Last week, they repeated this to me at least a hundred times a day, he replied.	He replied that he had only heard about all this today.	contradiction
P1276	Vsako sezono pripravimo pet premier za odrasle ter eno premiero za otroke in mladino.	Gledališče letno poskrbi za komaj eno do dve uprizoritvi, pa še ti sta za časom.	Each season we present five premieres for adults and one premiere for children and youth.	The theatre only puts on one or two productions a year, and even those are outdated.	contradiction
P1334	… pomaga proti depresijam (hormoni, gibanje, človeška bližina, zadovoljstvo)	Spodbujevalci stresa so pomanjkanje redne telesne aktivnosti in dobrih občutij.	... helps against depression (hormones, exercise, human closeness, contentment)	Stress triggers include a lack of regular physical activity and good feelings.	contradiction
P1351	Hodili smo na izlete, igrali tenis in se kopali.	Ves čas smo bili noter in se nismo ukvarjali z nobeno telesno aktivnostjo.	We went on trips, played tennis and went swimming.	We were inside all the time and did not do any physical activity.	contradiction
P1389	Na prvi ravni zelo skrbno ravnamo z instrumentalnimi definicijami problema in z raziskovanjem deleža posameznega člana v procesu reševanja in delamo na artikulaciji dobrih možnih izidov.	Instrumentalne definicije problema ter raziskovanje deleža določenega člana v postopku reševanja sta za nas manj pomembna kot artikulacija možnih pozitivnih izidov.	At the first level, we take great care with instrumental definitions of the problem and with exploring each member's stake in the solution process, and we work on the articulation of good possible outcomes.	Instrumental definitions of the problem and exploring the stake of a particular member in the resolution process are less important to us than articulating possible positive outcomes.	contradiction
P1525	To ni žalitev, ampak razlog, da ob smrti žalujejo.	To ni žalitev niti vzrok, zaradi katerega bi ob preminulosti žalovali.	This is not an insult, but a reason to mourn a death.	It is not an insult, nor a cause for mourning a death.	contradiction
P1554	Bombe, rakete, pištole, granate, vse to so uporabljali med vojno.	Med vojno vojaki niso smeli, niti niso mogli uporabljati kakršnegakoli orožja.	Bombs, missiles, guns, grenades were all used during the war.	During wartime, soldiers were not allowed to nor could use weapons of any kind.	contradiction
P1577	“Če je to tisto, kar si želiš.”	“V primeru, da to niso tvoje ambicije.“	If that's what you want.	In case that this is not your ambition.	contradiction
P1635	Meni pa ne, kar mi nikakor ni bilo všeč.	Vesel sem bil, da ni bilo pri meni enako.	Not for me, which I did not like at all.	I was glad it was not the same for me.	contradiction
P1661	Državnemu tožilcu Republike Slovenije se zahteva za varstvo zakonitosti pošlje s spisi.	Zahteva za varstvo zakonitosti in priloženi spisi niso namenjeni državnemu tožilcu RS.	The request for protection of legality shall be sent to the Public Prosecutor of the Republic of Slovenia with the case file.	The request for protection of legality and the attached files are not addressed to the Prosecutor General of the Republic of Slovenia.	contradiction
P1710	Dajem predlog, da se jutri dela, na glasovanje.	Jutri gotovo delamo, o tem ne bomo razpravljali.	I put the proposal to work tomorrow to the vote.	Tomorrow we are certainly working, we will not discuss this.	contradiction
P1779	Tudi protestov slovenske politike, ki jih je sprožilo stališče zveznega predsedstva o ustavnosti in zakonitosti odločitve, da bo vojaško sodišče poslovalo v srbohrvaškem jeziku, ni razumel.	V celoti je razumel in se strinjal s stališči protestnikov, ki so podprli odločitev zveznega predsedstva za delovanje vojaškega sodišča v uradnem jeziku, tj. srbohrvaščini.	He also did not understand the protests of Slovenian politics, which were triggered by the Federal Presidency's position on the constitutionality and legality of the decision to operate the military court in the Serbo-Croatian language.	He fully understood and agreed with the protesters' positions, who supported the Federal Presidency's decision to operate the military court in the official language, Serbo-Croatian.	contradiction
