pair_id	premise_slo	hypothesis_slo	premise_eng	hypothesis_eng	label
P24	Madžari petih minut prednosti niso izkoristili; slovenski vratar Kristan ni imel veliko dela, v celotni tretjini je moral posredovati le dvakrat.	Madžari pa so na jeseniški turnir poslali pomlajeno zasedbo, v kateri sta bili le prvi peterki iz ekipe, ki je potem na svetovnem prvenstvu izgubila proti Sloveniji z 1:4.	The Macedonians didn't capitalize on their five-minute advantage; Slovenian goalkeeper Kristan didn't have much to do, having to intervene only twice throughout the entire third period.	However, the Hungarians sent a rejuvenated lineup to the tournament in Jesenice, with only the top five players from the team that later lost to Slovenia 1-4 at the World Championship.	neutral
P167	Lutkovna predstava Gledališča Konj je primerna za otroke od 2. leta naprej in traja 30 minut.	V Gledališču konj se vsak dan odvijajo predstave, ki so namenjene tako našim najmlajšim kakor tudi njihovim staršem.	The puppet show by the Konj Theatre is suitable for children from 2 years old and lasts 30 minutes.	The Konj Theatre holds daily performances for our youngest children and their parents.	neutral
P171	»Eee, gospod ...« se je zaslišalo od zadaj.	Kadar koga izza hrbta nagovorimo, moramo biti vljudni.	Uh, sir... could be heard from behind.	When addressing someone from behind their back, we must be polite.	neutral
P252	2. ce je bila v letu 2005 pokojnina njihov edini dohodek, pod pogojem, da od pokojnine ni bila odtegnjena in placana akontacija dohodnine in pri akontaciji dohodnine zavezanci niso uveljavljali posebne olajšave za vzdrzevane druzinske clane.	2. V primeru, da je leta 2005 penzija predstavljala edini vir dohodka in hkrati niso bile uveljavljane nobene posebne olajšave kot npr. ta za VDČ ali otroke s posebnimi potrebami.	2. if the pension was their only income in 2005, provided that no income tax was withheld and paid on the pension and the taxpayers did not claim the special deduction for dependent family members on the income tax deduction.	2. if the pension was the only source of income in 2005 and no special allowances were claimed, such as those for VDČ or children with special needs.	neutral
P299	Če nimam nič, vem, kaj pomeni, če dam na stran 50 evrov.	Imam odličen občutek za varčevanje, saj sem vedno živela zelo skromno.	If I have nothing, I know what it means to put €50 aside.	I have a great sense of austerity, as I have always lived very frugally.	neutral
P301	Vsako nesrečo pri delu, v kateri pride do telesne poškodbe in s tem do nepremoženjske škode, bi moral zavod skrbno obravnavati že zato, da ugotovi vsa odločilna dejstva in zavaruje dokaze za ugotavljanje odškodninskega zahtevka.	V primerih, ko pride do hujše telesne poškodbe pri delu, ki povzroči delno ali popolno invalidnost, zavod odloča o upravičenosti vlagatelja zahtevka za pravično denarno odškodnino.	Any accident at work that results in personal injury and thus non-pecuniary damage should be handled carefully by the institution, in order to at least establish all the relevant facts and to safeguard the evidence for establishing the claim.	In cases of serious occupational injury resulting in partial or total disability, the institution decides whether the claimant is entitled to fair compensation.	neutral
P305	Stroške ocenjevanja in pridobitve DLP-potrdila določi Vlada Republike Slovenije.	Vlada Republike Slovenije se vsako leto trudi znižati stroške izvedbe ocenjevanja in izdaje potrdila DLP.	The costs of the assessment and the acuisition of the DLP certificate are determined by the Government of the Republic of Slovenia.	Every year, the Government of the Republic of Slovenia tries to reduce the costs of the DLP assessment and certification.	neutral
P318	»Nisem pričakovala, da bom srečala ljudi, ki jih poznam.«	Izrazila je svoje nenavdušenje nad srečanjem ljudi, ki jih pozna.	I didn't expect to run into people I know.	She expressed her dislike of running into people she knows.	neutral
P369	Predmet podaja znanja, ki omogočajo osnovno razumevanje delovanja in oblikovanja mehanizmov, s poudarkom na uporabi mehanizmov v industrijski praksi in vsakodnevnem življenju.	Glavni cilj predmeta je študente seznaniti z osnovo teorije delovanja mehanizmov in možnostmi praktične uporabe mehanizmov v industriji in vsakdanu.	The course provides knowledge that enables a basic understanding of the operation and design of mechanisms, with an emphasis on the use of mechanisms in industrial practice and everyday life.	The main aim of the course is to introduce students to the basic theory of how mechanisms work and their practical applications in industry and everyday life.	neutral
P405	»Upam, da me bo pustil pri miru,« se je jezilo samo pri sebi.	Zaradi žalosti si ni želelo nobenih stikov z drugimi.	I hope he'll leave me alone, it muttered to herself in annoyance.	Because of its sadness, it did not want any contact with others.	neutral
P413	Poleg osnovne teme je v njej obravnaval tudi astronomijo, akustiko, sončne ure in vodna kolesa.	Ob ustvarjanju naj bi mu na misel prišla tudi vključitev tematik vesolja, uporabnosti Sonca in vode ter akustika.	In addition to the basic subject matter, it also covered astronomy, acoustics, sundials and water wheels.	While he was creating it the inclusion of themes of space, the utility of the Sun and water, and acoustics purportedly also came to mind.	neutral
P439	»Laci, ti imaš imenitno mamo,« je vzdihnil Uroš.	Laci že dolgo poznam, pred kratkim pa sem spoznal tudi njeno mamo.	Laci, you have a great mother, sighed Uroš.	I've known Laci for a long time, and I recently met her mother as well.	neutral
P443	Če gremo v astralni svet, je izrazito drugačen tudi občutek za prostor.	V svetu duševnosti na čas in prostor gledamo na povsem nov način.	If we delve into the astral world, the sense of space is also distinctly different.	In the world of the psyche, we see time and space in a whole new way.	neutral
P471	PREVLADUJEJO ZLASTI ZNAKI, KI KAŽEJO NA POŠKODBE DIHALNIH ORGANOV IN PREBAVIL.	IZ TEH ZNAKOV ŠE NE MOREMO SKLEPATI, ZA KATERE VRSTE POŠKODBO GRE, POTREBNA JE NADALJNJA TEMELJITA PREISKAVA.	SIGNS INDICATIVE OF DAMAGE TO THE RESPIRATORY AND GASTROINTESTINAL TRACT ARE PARTICULARLY PREVALENT.	THESE SIGNS DO NOT YET INDICATE THE TYPE OF INJURY, FURTHER THOROUGH INVESTIGATION IS NEEDED.	neutral
P488	Pri pripravi razstave so sodelovali številni strokovnjaki, kustosi, metalurgi, strojniki in drugi.	Poleg kustosov so pri razstavi sodelovali strokovnjaki iz različnih strokovnih vej.	Many experts, curators, metallurgists, mechanical engineers and others have been involved in the preparation of the exhibition.	In addition to the curators, the exhibition was curated by experts from various fields of expertise.	neutral
P508	Otroci potrebujejo veliko priložnosti, da govorijo in si izmišljajo zgodbice.	Prav je, da se otroke spodbuja h grajenju njihovih govornih sposobnosti in domišljije.	Children need lots of opportunities to talk and make up stories.	It is right to encourage children to build their speaking skills and imagination.	neutral
P516	Izza verig potujoče vate je pokukalo sonce in škofa opremilo s svetniškim sijem.	Sončni žarki so pokukali izza verig potujoče vate in obsijali škofa.	The sun peeked out from behind the chains of the wandering cotton wool and gave the bishop a saintly glow.	The sun's rays peeked out from behind the chains of the travelling cotton wool and shone on the bishop.	neutral
P593	Nekega dne pa se je krepak mlad fant iz okolice gradu vseeno opogumil.	Nekoč se je fantič, ki je prebival ob gradu, odločil, da se ne bo več bal.	But one day, a strapping young lad from the castle's surroundings took heart.	Once upon a time, a boy who lived by the castle decided to stop being afraid.	neutral
P602	- enega predstavnika za področje zdravstva volijo poklicne organizacije zdravstvenih delavcev in zdravstvenih sodelavcev,	Osebo, ki predstavlja področje zdravstva, imenujejo zaposleni v zdravstvu.	- one health representative is elected by the professional organisations of health workers and allied health professionals,	The person who represents the health sector is called the health worker.	neutral
P621	Ko sem ovdovela, sem bila v težavah in sem morala revijo odpovedati.	Takoj po pogrebu sem sklenila spremeniti svoje življenje, zato sem odšla v Tibet.	When I was widowed, I was in trouble and had to cancel the magazine.	Immediately after the funeral, I decided to change my life, so I went to Tibet.	neutral
P654	Sam pri sebi se je zahihital, pogledal v ogledalo in si poravnal kravato.	Po tihem se je zahihital, preden se je obrnil k zrcalu in si zgledil in popravil kravato.	He chuckled to himself, looked in the mirror and straightened his tie.	He chuckled quietly before turning to the mirror to look at himself and fix his tie.	neutral
P711	Dodali smo tudi multimedijske vsebine, kot so video prezentacije, animacije, zvočne aplikacije, ki bodo nadgradile vsebinski del igre in omogočile posebno doživljajsko izkušnjo.	Ukvarjamo se z dodajanjem novih multimedijskih vsebin, med katere prištevamo video predstavitve, animacije in zvočne aplikacije, prav tako pa nas zanima tudi vsebinski del igre in ustvarjanje posebnega doživetja ob igranju.	We have also added multimedia content, such as video presentations, animations, and audio applications, which will enhance the content of the game and provide a special immersive experience.	We are working on adding new multimedia content, including video presentations, animations, and audio applications, but we are also interested in the content part of the game and in creating a special gaming experience.	neutral
P767	Nekateri od njih so močno specializirani, drugi so bolj splošnonamenski.	Kadar gre za različne narave izdelkov, se pojavljajo tudi različne potrebe o njih.	Some of them are highly specialised, others are more general-purpose.	When it comes to different types of products, there are also different needs about them.	neutral
P817	Rodilo se je 8 otruok: pet puobčju an tri čičice, kar je zaries puno!	Letos je luč sveta uzrlo kar osem detet, pet moškega ter tri ženskega spola.	8 babies were born: five boys and three girls, which is a lot!	This year, eight babies have been born, five male and three female.	neutral
P1034	Bila je namreč edino vrhnje oblačilo, ki sem ga imela.«	Ni imela prevelike izbire, saj je bila jopica, ki jo je držala, njeno edino vrhnje oblačilo.	"It was the only outerwear I had."""	She didn't have much choice, as the cardigan she was holding was her only outerwear.	neutral
P1221	Za nobenega ne bi mogel človek reči, da je popolnoma trezen.	Iz njihovega obnašanja se je takoj razbralo, da so bli vsaj rahlo vinjeni.	No one could be said to be completely sober.	It was immediately clear from their behaviour that they were at least a little tipsy.	neutral
P1256	Vzorca si v vrsti izmenično sledita po vsej dolžini modela.	Vzorca sta si med seboj čisto podobna, še vrsti imata enako razporejeni.	The patterns alternate in a row along the length of the model.	The patterns are quite similar, even the order of rows is equal in both of them.	neutral
